subject,relation,object,subject_type,object_type
interventions,suggested that,additional effect,NOUN_CHUNK,NOUN_CHUNK
Services,reduce,morbidity,NOUN_CHUNK,NOUN_CHUNK
health assessments screenings,cost,savings potential,NOUN_CHUNK,NOUN_CHUNK
Preventive care,transcends,demographics,NOUN_CHUNK,NOUN_CHUNK
The National Network of Perinatal Quality Collaboratives,supports,state based perinatal quality collaboratives,ORG,NOUN_CHUNK
state based perinatal quality collaboratives,contributed to,reductions,NOUN_CHUNK,NOUN_CHUNK
Telehealth,realized,significant growth,NOUN_CHUNK,NOUN_CHUNK
Policy actions,guarantee,utilization,NOUN_CHUNK,NOUN_CHUNK
Inputs,have,significant effects,NOUN_CHUNK,NOUN_CHUNK
childhood vaccines,demonstrate,high return,NOUN_CHUNK,NOUN_CHUNK
Indirect costs,costs,billions of dollars,NOUN_CHUNK,MONEY
United States,employs,public health policy efforts,GPE,NOUN_CHUNK
states,employ,physical education requirement,NOUN_CHUNK,NOUN_CHUNK
advertisements,received,attention,NOUN_CHUNK,NOUN_CHUNK
18 states,allow,exemptions,CARDINAL,NOUN_CHUNK
DOI names,identify,creative works,NOUN_CHUNK,NOUN_CHUNK
registries,include,Crossref,NOUN_CHUNK,ORG
the International DOI Foundation,oversees,integration,ORG,NOUN_CHUNK
the Handle System,have,approach,ORG,NOUN_CHUNK
document,used as,two URLs,NOUN_CHUNK,CARDINAL
DOI resolvers,consult,open access resources,NOUN_CHUNK,NOUN_CHUNK
IDF,holds,annual open meetings,NOUN_CHUNK,DATE
Registration agencies,provide,services,NOUN_CHUNK,NOUN_CHUNK
Digital Object Identifier System,met,ISO requirements,ORG,NOUN_CHUNK
relevant ISO Working Group,submitted,edited version,NOUN_CHUNK,NOUN_CHUNK
Canada southern and western border,is,"8,891 kilometres",GPE,QUANTITY
Canada,ranks among,civil liberties,GPE,NOUN_CHUNK
Canada's long relationship,had,significant impact,GPE,NOUN_CHUNK
Canada,has,income,GPE,NOUN_CHUNK
characteristics,included,permanent settlements,NOUN_CHUNK,NOUN_CHUNK
attempts,reached,climax,NOUN_CHUNK,NOUN_CHUNK
European,believed that,east coast,NORP,NOUN_CHUNK
Sir Humphrey Gilbert,founded,"St. John's, Newfoundland",NOUN_CHUNK,GPE
French,established,French seasonal trading post,NOUN_CHUNK,NOUN_CHUNK
Canadiens,settled,Saint Lawrence River valley,NORP,NOUN_CHUNK
English,established,additional settlements,NOUN_CHUNK,NOUN_CHUNK
The Durham Report,recommended,responsible government,ORG,NOUN_CHUNK
The Act of Union 1840,merged,Canadas,ORG,NOUN_CHUNK
The Alaska Purchase,established,border,ORG,NOUN_CHUNK
the British North America Act 1867,proclaimed,Canadian Confederation,ORG,ORG
parliament,created,the Yukon Territory,NOUN_CHUNK,GPE
Indigenous peoples,saw,widespread famine,NOUN_CHUNK,NOUN_CHUNK
responsible government,provide,emergency relief,NOUN_CHUNK,NOUN_CHUNK
Britain,maintained,control,GPE,NOUN_CHUNK
The Great Depression,saw,economic downturn,EVENT,NOUN_CHUNK
Co - operative Commonwealth Federation,introduced,elements,NOUN_CHUNK,NOUN_CHUNK
delay,underscored,Canada's independence,NOUN_CHUNK,GPE
Canadian troops,played,important roles,NORP,NOUN_CHUNK
Canada,provided,asylum,GPE,NOUN_CHUNK
Canada,finished,war,GPE,NOUN_CHUNK
series,resulted in,patriation,NOUN_CHUNK,NOUN_CHUNK
Canada,established,complete sovereignty,GPE,NOUN_CHUNK
number,shook,Canadian society,NOUN_CHUNK,NORP
Canada,joined,successful American War,GPE,NOUN_CHUNK
new country,encompasses,"9,984,670 km2",NOUN_CHUNK,QUANTITY
Canada,has,vast maritime terrain,GPE,NOUN_CHUNK
five marine ecozones,encompass,"over 80,000 classified species",CARDINAL,CARDINAL
Canada's first National Park,spans,"6,641 square kilometres",GPE,QUANTITY
snow,cover,ground,NOUN_CHUNK,NOUN_CHUNK
British Columbia's,has,temperate climate,GPE,NOUN_CHUNK
Peace,founding,principles,NOUN_CHUNK,NOUN_CHUNK
good government,called by,confidence vote,NOUN_CHUNK,NOUN_CHUNK
the Canada Elections Act,held,this to four years,LAW,DATE
age 75.Canada federal structure,The 105 members of,government responsibilities,NOUN_CHUNK,NOUN_CHUNK
minister,utilize,Statistics Canada agency,NOUN_CHUNK,NOUN_CHUNK
The Bank of Canada,issued by,Canadian coins,ORG,NORP
The Constitution Act,affirmed,governance,LAW,NOUN_CHUNK
federal Cabinet,appoints,justices,NOUN_CHUNK,NOUN_CHUNK
Canadian Aboriginal law,provides,certain constitutionally recognized rights,NORP,NOUN_CHUNK
Canada's peacekeeping role,played,major role,GPE,NOUN_CHUNK
Canada,maintains,historic ties,GPE,NOUN_CHUNK
Canada,deployed,troops,GPE,NOUN_CHUNK
Russia,employs,professional volunteer military force,GPE,NOUN_CHUNK
Canada's military expenditure,totalled,billion,GPE,CARDINAL
good government,announced,70 percent increase,NOUN_CHUNK,NOUN_CHUNK
The Canadian Forces,acquire,88 fighter planes,ORG,CARDINAL
Canada's military,has,3000 personnel,GPE,NOUN_CHUNK
provinces,collect,revenue,NOUN_CHUNK,NOUN_CHUNK
changes,require,constitutional amendment,NOUN_CHUNK,NOUN_CHUNK
Canadian trade,reached,trillion,NORP,CARDINAL
Canada,had,trade deficit,GPE,NOUN_CHUNK
growth,transformed,Russia,NOUN_CHUNK,GPE
The Automotive Products Trade Agreement,opened,Canada's borders,ORG,GPE
Canada,has,strong cooperative banking sector,GPE,NOUN_CHUNK
Canada,spent,CA$34.5 billion,GPE,PRODUCT
new country,produced,fifteen Nobel laureates,NOUN_CHUNK,CARDINAL
2016 Canadian Census,enumerated,total population,NOUN_CHUNK,NOUN_CHUNK
Canada,has,one of the highest per,GPE,CARDINAL
Canadian public,support,current level,NOUN_CHUNK,NOUN_CHUNK
Canada,experiencing,cost increase,GPE,NOUN_CHUNK
Canada,has,one,GPE,CARDINAL
Canada,has,large number,GPE,NOUN_CHUNK
Canada,spends,about 5.3 percent,GPE,PERCENT
just over 7.3 million Canadians,listed,non - official language,CARDINAL,NOUN_CHUNK
Canada's federal government,practices,official bilingualism,GPE,NOUN_CHUNK
English,have,equal status,NORP,NOUN_CHUNK
provinces,have,official languages,NOUN_CHUNK,NOUN_CHUNK
French,has,legal status,NORP,NOUN_CHUNK
Indigenous languages,have,official status,NOUN_CHUNK,NOUN_CHUNK
23.9 percent,declared,religious affiliation,PERCENT,NOUN_CHUNK
Canada,placed,emphasis,GPE,NOUN_CHUNK
Canadian comedians,achieved,international success,NOUN_CHUNK,NOUN_CHUNK
Canada,has,developed media sector,GPE,NOUN_CHUNK
penny,featured,maple leaf,NOUN_CHUNK,NOUN_CHUNK
The Canadian Academy of Recording Arts and Sciences,presents,Canada's music industry awards,ORG,GPE
Canadian Music Hall,honours,Canadian musicians,NOUN_CHUNK,NORP
Canada,shares,major professional sports leagues,GPE,NOUN_CHUNK
Canadian teams,include,seven franchises,NORP,CARDINAL
popular professional sports,include,Canadian football,NOUN_CHUNK,NORP
Canada,hosted,2015 Pan American Games,GPE,NOUN_CHUNK
Specializations,include,behavioral endocrinology,NOUN_CHUNK,NOUN_CHUNK
Examples,include,thyroid hormone,NOUN_CHUNK,NOUN_CHUNK
Griffin,identify,three different classes,PERSON,CARDINAL
clinical specialty,involves,diagnostic evaluation,NOUN_CHUNK,NOUN_CHUNK
second important aspect,distinguishing,human variation,NOUN_CHUNK,NOUN_CHUNK
Typical training,involves,4 years,NOUN_CHUNK,DATE
main article,See,study,NOUN_CHUNK,NOUN_CHUNK
principal professional organizations,include,The Endocrine Society,NOUN_CHUNK,ORG
sex pituitary hormones,used,complex methods,NOUN_CHUNK,NOUN_CHUNK
German Karl Adolph von Basedow,reported,constellation,NOUN_CHUNK,NOUN_CHUNK
Otto Loewi,incubated,frog heart,PERSON,NOUN_CHUNK
Otto Loewi,won,the Nobel Prize,PERSON,WORK_OF_ART
Sub specializations,include,disaster medicine,NOUN_CHUNK,NOUN_CHUNK
emergency physician,requires,broad field,NOUN_CHUNK,NOUN_CHUNK
family physicians,staff,emergency departments,NOUN_CHUNK,NOUN_CHUNK
delay,defined as,likelihood,NOUN_CHUNK,NOUN_CHUNK
patients,utilize,EDs,NOUN_CHUNK,NOUN_CHUNK
common misconception,pegs,frequent ED visitors,NOUN_CHUNK,NOUN_CHUNK
ED users,make up,small portion,NOUN_CHUNK,NOUN_CHUNK
physician knowledge,improve,cost effective use,NOUN_CHUNK,NOUN_CHUNK
EMTALA,holds,hospital,NOUN_CHUNK,NOUN_CHUNK
mandate,provides,support,NOUN_CHUNK,NOUN_CHUNK
physician,established,affirmative action,NOUN_CHUNK,NOUN_CHUNK
One study,identified,error rate,CARDINAL,NOUN_CHUNK
countries,develop,training programs,NOUN_CHUNK,NOUN_CHUNK
International emergency medicine,provides,important global perspective,NOUN_CHUNK,NOUN_CHUNK
Dual fellowship programs,add,one or more years,NOUN_CHUNK,CARDINAL
attending physician,follow,supra specialty programme,NOUN_CHUNK,NOUN_CHUNK
Emergency,begins,journey,NOUN_CHUNK,NOUN_CHUNK
emergency physicians,outnumber,FRCP(EM physicians,NOUN_CHUNK,NOUN_CHUNK
length,allows,time,NOUN_CHUNK,NOUN_CHUNK
EM post - graduate training,took,place,NOUN_CHUNK,NOUN_CHUNK
licensed physician,handled as,additional qualification,NOUN_CHUNK,NOUN_CHUNK
private hospitals,providing,Emergency Medicine training,NOUN_CHUNK,NOUN_CHUNK
The American Osteopathic Board of Emergency Medicine,certifies,emergency physicians,ORG,NOUN_CHUNK
Specialty training,takes,six years,NOUN_CHUNK,DATE
college,accredited,training,NOUN_CHUNK,NOUN_CHUNK
Certificate courses,include,ACLS,NOUN_CHUNK,ORG
House,diagnoses,heavy metal poisoning,ORG,NOUN_CHUNK
The A.V. Club,gave,D+ rating,ORG,NOUN_CHUNK
Family Practice,includes,section,NOUN_CHUNK,NOUN_CHUNK
family nurse practitioner,provides,continuing comprehensive healthcare,NOUN_CHUNK,NOUN_CHUNK
family nurse practitioner,select,sub specialty,NOUN_CHUNK,NOUN_CHUNK
FNPs,deliver,range,NOUN_CHUNK,NOUN_CHUNK
the American Board of Internal Medicine,approved,3-year combined fellowship training program,ORG,NOUN_CHUNK
The John A. Hartford Foundation,funded,10 institutions,ORG,CARDINAL
friendly society,is,mutual society,NOUN_CHUNK,NOUN_CHUNK
friendly societies,provided,financial social services,NOUN_CHUNK,NOUN_CHUNK
friendly societies,played,important,NOUN_CHUNK,NOUN_CHUNK
The Museum of English Rural Life,has,collection,ORG,NOUN_CHUNK
form,felt that,form,NOUN_CHUNK,NOUN_CHUNK
Similar organisations,trading,businesses,NOUN_CHUNK,NOUN_CHUNK
Examples,include,co - operatives,NOUN_CHUNK,NOUN_CHUNK
EHRs,include,range,NOUN_CHUNK,NOUN_CHUNK
research literature,paints,realistic picture,NOUN_CHUNK,NOUN_CHUNK
Digitization,facilitates,collection,NOUN_CHUNK,NOUN_CHUNK
standardization,create,challenges,NOUN_CHUNK,NOUN_CHUNK
Emergency medical services,introduced,use,NOUN_CHUNK,NOUN_CHUNK
benefits,include,patient data sharing,NOUN_CHUNK,NOUN_CHUNK
research traditions,see,EHR,NOUN_CHUNK,NOUN_CHUNK
use,reduce,number,NOUN_CHUNK,NOUN_CHUNK
implementation,decrease,identification time,NOUN_CHUNK,NOUN_CHUNK
research,showed that,deficiencies,NOUN_CHUNK,NOUN_CHUNK
physicians,embracing,mobile technologies,NOUN_CHUNK,NOUN_CHUNK
Failure,create,costly time consuming interruptions,NOUN_CHUNK,NOUN_CHUNK
personal information,includes,non - digital electronic form,NOUN_CHUNK,NOUN_CHUNK
NHS Digital,said to,changes,ORG,NOUN_CHUNK
International Organization for Standardization (ISO,settled,thorough word,ORG,NOUN_CHUNK
majority,made,strategy,NOUN_CHUNK,NOUN_CHUNK
the United States,imposed,mandatory medical data breach notifications,GPE,NOUN_CHUNK
CEN's TC/251,provides,EHR standards,ORG,NOUN_CHUNK
CONTSYS,supports,continuity,ORG,NOUN_CHUNK
ISO – ISO TC,provides,international technical specifications,ORG,NOUN_CHUNK
U.S. federal government,issued,new rules,NOUN_CHUNK,NOUN_CHUNK
open community,Open specifications.openEHR,specification,NOUN_CHUNK,NOUN_CHUNK
CDMs,use,relational model,NOUN_CHUNK,NOUN_CHUNK
physician input interface,done so,previously utilized paper forms,NOUN_CHUNK,NOUN_CHUNK
Customization,have,institution disadvantages,NOUN_CHUNK,NOUN_CHUNK
Records,have,potential,ORG,NOUN_CHUNK
Russia,launched,major project,GPE,NOUN_CHUNK
the Unified Medical Information and Analytical System,connects,more than 660 clinics,ORG,CARDINAL
89%,used,Practice Management System,PERCENT,NOUN_CHUNK
YorDales Health Ltd,covers,17 practices,ORG,NOUN_CHUNK
60%,had,GMS contract,PERCENT,NOUN_CHUNK
Virtually doctor,had,personal contract,NOUN_CHUNK,NOUN_CHUNK
BMA,formulated,Charter,NOUN_CHUNK,NOUN_CHUNK
The 'Red Book' (Statement of Fees and Allowances,detailed,payment tariffs,ORG,NOUN_CHUNK
GP Fundholding scheme,gave,budget,NOUN_CHUNK,NOUN_CHUNK
practice,gets,share,NOUN_CHUNK,NOUN_CHUNK
Main changes,included,named accountable GP,NOUN_CHUNK,NOUN_CHUNK
GP practices,receive,85.35 per weighted patient under The 2015 Contract,NOUN_CHUNK,CARDINAL
deal,guarantee,minimum 2 % uplift,NOUN_CHUNK,NOUN_CHUNK
Richard Vautrey,described,changes,PERSON,NOUN_CHUNK
health care professional health care body,enter,local contract,NOUN_CHUNK,NOUN_CHUNK
Gastroenterologists,perform,number,ORG,NOUN_CHUNK
Interventional gastroenterologists,undergo,an additional year,NOUN_CHUNK,DATE
Hippocrates,attributed,digestion,NORP,NOUN_CHUNK
German Johann von Zimmermann,wrote,important work,NORP,NOUN_CHUNK
Maximilian Stoll,described,cancer,PERSON,NOUN_CHUNK
Charles Emile Troisier,described,enlargement,PERSON,NOUN_CHUNK
William Beaumont,published,Experiments and Observations on the Gastric Juice,PERSON,WORK_OF_ART
Adolf Kussmaul,developed,gastroscope,PERSON,NOUN_CHUNK
William Beaumont,perfected,technique,PERSON,NOUN_CHUNK
Carl Stoerk,demonstrated,esophagoscope,PERSON,NOUN_CHUNK
Karl Wilhelm von Kupffer,described,properties,PERSON,NOUN_CHUNK
Hugo Kronecker,studied,oesophageal manometry,PERSON,NOUN_CHUNK
Jesse McClendon,tested,acidity,PERSON,NOUN_CHUNK
Walter Alvarez,did,electrogastrography research,PERSON,NOUN_CHUNK
Rudolf Schindler,developed,semiflexible gastroscope,PERSON,NOUN_CHUNK
Burrill Bernard Crohn,described,Crohn's disease,PERSON,PERSON
Basil Hirschowitz,introduced,prototype,PERSON,NOUN_CHUNK
1978 Alma Ata Declaration,set,intellectual foundation,NOUN_CHUNK,NOUN_CHUNK
student,make,student,NOUN_CHUNK,NOUN_CHUNK
student,replace,physicians,NOUN_CHUNK,NOUN_CHUNK
huisarts,administers,first line,NOUN_CHUNK,ORDINAL
patients,consult,hospital specialist,NOUN_CHUNK,NOUN_CHUNK
GPs,have,specialist interest,NOUN_CHUNK,NOUN_CHUNK
First and third year,takes,place,DATE,NOUN_CHUNK
residents,get,one day,NOUN_CHUNK,DATE
residents,take,national GP knowledge test,NOUN_CHUNK,NOUN_CHUNK
General Practitioner,has,broad legal rights,NOUN_CHUNK,NOUN_CHUNK
4 years training program,includes,core specialties,NOUN_CHUNK,NOUN_CHUNK
trainee,training:.Two years of,rotation,NOUN_CHUNK,NOUN_CHUNK
medical practitioner,complete,variety,NOUN_CHUNK,NOUN_CHUNK
practical examination,takes,form,NOUN_CHUNK,NOUN_CHUNK
doctor,complete,electronic portfolio,NOUN_CHUNK,NOUN_CHUNK
Wales,abolished,charges,GPE,NOUN_CHUNK
Recent reforms,included,changes,NOUN_CHUNK,NOUN_CHUNK
North America,holds,different definition,LOC,NOUN_CHUNK
Board certification agencies,increasing,Board certification agencies fees,NOUN_CHUNK,ORG
General Practice of Canada,undergone,changes,ORG,NOUN_CHUNK
new GPs,required in,Medicare rebates,NOUN_CHUNK,ORG
programs,awarded,permanent unrestricted eligibility,NOUN_CHUNK,NOUN_CHUNK
choices,include,Aboriginal,NOUN_CHUNK,NORP
new graduates,complete,GPEP,NOUN_CHUNK,NOUN_CHUNK
The Australian Government,increased,number,ORG,NOUN_CHUNK
general surgeons,obtain,advanced training,NOUN_CHUNK,NOUN_CHUNK
General surgeons,treat,wide variety,NOUN_CHUNK,NOUN_CHUNK
General surgeons,perform,majority,NOUN_CHUNK,NOUN_CHUNK
Transplanted organs,include,liver kidney pancreas rarely small bowel Surgical oncology,NOUN_CHUNK,NOUN_CHUNK
cardiothoracic surgeons,complete,general surgery residency,NOUN_CHUNK,NOUN_CHUNK
Pediatric surgeons,do,surgery,NOUN_CHUNK,NOUN_CHUNK
surgical trainees,enter,training,NOUN_CHUNK,NOUN_CHUNK
doctors,sit,examination,NOUN_CHUNK,NOUN_CHUNK
surgeons,hold,title Mister,NOUN_CHUNK,NOUN_CHUNK
term Primary Care,include,services,NOUN_CHUNK,NOUN_CHUNK
patients,have,direct access,NOUN_CHUNK,NOUN_CHUNK
The British Medical Association,conducted,survey,ORG,NOUN_CHUNK
1 % deterioration,produce,10 % deterioration,NOUN_CHUNK,NOUN_CHUNK
"2017 more than 1,061 practices",employing,pharmacists,CARDINAL,NOUN_CHUNK
Northumbria Healthcare NHS Foundation Trust,taken over,multiple GP practices,ORG,NOUN_CHUNK
40%,got,day appointment,PERCENT,NOUN_CHUNK
The British Medical Association,demanded,increased funding,ORG,NOUN_CHUNK
new GP contract,included,funding,NOUN_CHUNK,NOUN_CHUNK
Previous health issues,produce,different constellation,NOUN_CHUNK,NOUN_CHUNK
Smokers,consume,Smokers respiratory system reserve,NOUN_CHUNK,NOUN_CHUNK
Elderly people,require,specific attention,NOUN_CHUNK,NOUN_CHUNK
polypharmacy,increase,risk,NOUN_CHUNK,NOUN_CHUNK
Charaka,described,fatigue,PERSON,NOUN_CHUNK
number,studied,geriatrics,NOUN_CHUNK,NOUN_CHUNK
Alexander,viewed,process,PERSON,NOUN_CHUNK
works,describe,mental physical symptoms,NOUN_CHUNK,NOUN_CHUNK
Theophilus Protospatharius,discussed,topic,PERSON,NOUN_CHUNK
Byzantine physicians,recommended,frequent bathing,NORP,NOUN_CHUNK
Arab physician,wrote,book,NOUN_CHUNK,NOUN_CHUNK
George Day,published,the Diseases of Advanced Life,PERSON,WORK_OF_ART
Geriatricians,developed,expanded expertise,NORP,NOUN_CHUNK
Doctors,complete,year core internal medicine residency program,NOUN_CHUNK,NOUN_CHUNK
only eight major institutes,provide,M.D,CARDINAL,ORG
content domain,specifies,"three or more observable, measurable competencies",NOUN_CHUNK,CARDINAL
International sites,include,Australia,NOUN_CHUNK,GPE
Changes,alter,absorption,NOUN_CHUNK,NOUN_CHUNK
nearly 1 of 3 medical regimens,found that,potential medication error,CARDINAL,NOUN_CHUNK
Elderly persons,make,decisions,NOUN_CHUNK,NOUN_CHUNK
topical anesthesia,used for,cooperation,NOUN_CHUNK,NOUN_CHUNK
Sterile precautions,include,use,NOUN_CHUNK,NOUN_CHUNK
Canaloplasty,uses,microcatheter technology,GPE,NOUN_CHUNK
Macular translocation,surgery.through,360° retinotomy.through scleral imbrication technique,NOUN_CHUNK,QUANTITY
Oculoplastic surgeons,perform,procedures,NOUN_CHUNK,NOUN_CHUNK
Canaliculotomy,involves,slitting,GPE,NOUN_CHUNK
term,means,science,NOUN_CHUNK,NOUN_CHUNK
Texts,provides,details,NOUN_CHUNK,NOUN_CHUNK
Hippocratic Corpus,contains,gynaecological treatises,NOUN_CHUNK,NOUN_CHUNK
"Anarcha, J. Marion Sims",performed,30 surgeries,ORG,CARDINAL
women condition,referred to,training,NOUN_CHUNK,NOUN_CHUNK
Gynaecological examination,requires,unique instrumentation,PERSON,NOUN_CHUNK
Male gynaecologists,have,female chaperone,NOUN_CHUNK,NOUN_CHUNK
Pre- post - operative medical management,employ,standard drug therapies,NOUN_CHUNK,NOUN_CHUNK
the Royal College of Obstetricians and Gynaecologists,encourages,study,ORG,NOUN_CHUNK
generic drug,contain,active ingredients,NOUN_CHUNK,NOUN_CHUNK
The U.S. Food and Drug Administration,requires,generics,ORG,NOUN_CHUNK
patents,give,20 years,NOUN_CHUNK,DATE
Manufacturers,increase,prices,NOUN_CHUNK,NOUN_CHUNK
Generic drug companies,receive,benefit,NOUN_CHUNK,NOUN_CHUNK
India,exports,generic drugs,GPE,NOUN_CHUNK
physicians,The code of,drugs,NOUN_CHUNK,NOUN_CHUNK
Indian generics companies,exported,US$17.3 billion worth,NORP,MONEY
entry,brought,stronger patent system,NOUN_CHUNK,NOUN_CHUNK
major companies,dominate,generic drugs market,NOUN_CHUNK,NOUN_CHUNK
Plastic surgeons,receive,significant training,NOUN_CHUNK,NOUN_CHUNK
graduates,do,additional year hand fellowship,NOUN_CHUNK,NOUN_CHUNK
Hand surgery,incorporates,techniques,NOUN_CHUNK,NOUN_CHUNK
Hand surgeons,perform,wide variety,NOUN_CHUNK,NOUN_CHUNK
specialists,have,extensive training,NOUN_CHUNK,NOUN_CHUNK
smoking,researched to,role,NOUN_CHUNK,NOUN_CHUNK
minority,require,removal,NOUN_CHUNK,NOUN_CHUNK
Scandinavian countries,have,incidence,NORP,NOUN_CHUNK
Cervical cancer,makes up,largest percentage,NOUN_CHUNK,NOUN_CHUNK
barriers,include,changes,NOUN_CHUNK,NOUN_CHUNK
people,use,healthcare centers,NOUN_CHUNK,NOUN_CHUNK
local community services centers,offer,routine health social services,NOUN_CHUNK,NOUN_CHUNK
health center,covered,area,NOUN_CHUNK,NOUN_CHUNK
ACES,include,public health,NOUN_CHUNK,NOUN_CHUNK
Interim Report,laid down,detailed plans,NOUN_CHUNK,NOUN_CHUNK
known center,had,provision,NOUN_CHUNK,NOUN_CHUNK
The U.S. Public Health Service,issued,report,ORG,NOUN_CHUNK
meta evaluation,found,worksite health promotion,NOUN_CHUNK,NOUN_CHUNK
government agencies,have,substantial efforts,NOUN_CHUNK,NOUN_CHUNK
The International Union for Health Promotion and Education,holds,international regional national conferences,ORG,NOUN_CHUNK
The European Union,funding,Joint Action,ORG,NOUN_CHUNK
ACT Health,supports,health promotion,NOUN_CHUNK,NOUN_CHUNK
Aboriginal Torres Strait Island citizens,had,poor health,NOUN_CHUNK,NOUN_CHUNK
health,Enabling,initiatives,NOUN_CHUNK,NOUN_CHUNK
approach,has,important contribution,NOUN_CHUNK,NOUN_CHUNK
2012,estimated,healthy life expectancy,DATE,NOUN_CHUNK
exam,reflects,entry level sub competencies,NOUN_CHUNK,NOUN_CHUNK
Hematology,is,haematology,NOUN_CHUNK,NOUN_CHUNK
diseases,include,hemophilia,NOUN_CHUNK,NOUN_CHUNK
teaching hospital,combines,assistance,NOUN_CHUNK,NOUN_CHUNK
Hospitals,have,range,NOUN_CHUNK,NOUN_CHUNK
Common support units,include,pharmacy,NOUN_CHUNK,NOUN_CHUNK
hospitals,served,different functions,NOUN_CHUNK,NOUN_CHUNK
Larger cities,have,hospitals,NOUN_CHUNK,NOUN_CHUNK
district hospitals,provided,$54 million,NOUN_CHUNK,MONEY
teaching hospital,delivers,healthcare,NOUN_CHUNK,NOUN_CHUNK
Students,observe,clinical work,NOUN_CHUNK,NOUN_CHUNK
hospital,have,acute services,NOUN_CHUNK,NOUN_CHUNK
equipped hospital,have,services,NOUN_CHUNK,NOUN_CHUNK
hospitals,have,outpatient departments,NOUN_CHUNK,NOUN_CHUNK
hospital,have,department,NOUN_CHUNK,NOUN_CHUNK
Support units,include,medical records department,NOUN_CHUNK,NOUN_CHUNK
COVID-19 pandemic,stimulated,development,NOUN_CHUNK,NOUN_CHUNK
West Hertfordshire Hospitals NHS Trust,started,COVID Oximetry@Home service,GPE,NOUN_CHUNK
ancient chronicle,had,hospitals,NOUN_CHUNK,NOUN_CHUNK
declaration,drove,expansion,NOUN_CHUNK,NOUN_CHUNK
Facilities,included,systematic treatment procedures,NOUN_CHUNK,NOUN_CHUNK
Islamic bimaristan,treated,poor,NOUN_CHUNK,NOUN_CHUNK
The London Dispensary,opened,The London Dispensary doors,ORG,FAC
hospitals,had,trebled hospitals original average intake,NOUN_CHUNK,NOUN_CHUNK
Modern hospitals,measure,efficiency metrics,NOUN_CHUNK,NOUN_CHUNK
Modern hospitals,derive,funding,NOUN_CHUNK,NOUN_CHUNK
7%,acquire,at least one health care-associated infection,PERCENT,CARDINAL
Sushruta,introduced,concepts,NOUN_CHUNK,NOUN_CHUNK
Universities,began,systematic training,NOUN_CHUNK,NOUN_CHUNK
Military doctors,advanced,methods,NOUN_CHUNK,NOUN_CHUNK
rapid growth,developed,systematic sanitary measures,NOUN_CHUNK,NOUN_CHUNK
tribal culture specialized specific castes,fulfilled,role,NOUN_CHUNK,NOUN_CHUNK
Neolithic dentists,The first known dentistry dates to,flint tipped drills,LOC,NOUN_CHUNK
ancient Mesopotamians,had,distinction,NOUN_CHUNK,NOUN_CHUNK
Babylonians,introduced,practice,NOUN_CHUNK,NOUN_CHUNK
the Diagnostic Handbook,introduced,methods,LAW,NOUN_CHUNK
hands,known as,control,NOUN_CHUNK,NOUN_CHUNK
Atharvaveda,contains,prescriptions,NOUN_CHUNK,NOUN_CHUNK
ancient compendia,include,details,NOUN_CHUNK,NOUN_CHUNK
Susruta,described,more than 125 surgical instruments,PERSON,CARDINAL
Ayurvedic classics,mention,eight branches,NOUN_CHUNK,CARDINAL
Unani medicine,found,deep roots,ORG,NOUN_CHUNK
Muslim rulers,built,large hospitals,NORP,NOUN_CHUNK
China,developed,large body,GPE,NOUN_CHUNK
The Jin Dynasty practitioner,quotes,the Yellow Emperor,PERSON,PERSON
the Methodist Church,set up,highly successful Wai Ai Clinic,ORG,NOUN_CHUNK
missionaries,sent,women doctors,NOUN_CHUNK,NOUN_CHUNK
Dr. Mary Hannah Fulton,founded,medical college,NOUN_CHUNK,NOUN_CHUNK
Chinese scholars,established,correlation,NORP,NOUN_CHUNK
800 BCE Homer,gives,descriptions,NOUN_CHUNK,NOUN_CHUNK
Hippocratics,invented,Hippocratic Oath,NOUN_CHUNK,NOUN_CHUNK
Two great Alexandrians,laid,foundations,CARDINAL,NOUN_CHUNK
Alexandrian surgeons,gave,ligature,NOUN_CHUNK,NOUN_CHUNK
Erasistratus,connected,increased complexity,ORG,NOUN_CHUNK
air,drawn by,human body,NOUN_CHUNK,NOUN_CHUNK
Galen,performed,audacious operations,ORG,NOUN_CHUNK
Galen,explains,mental properties,ORG,NOUN_CHUNK
Romans,invented,numerous surgical instruments,NOUN_CHUNK,NOUN_CHUNK
Romans,performed,cataract surgery,NOUN_CHUNK,NOUN_CHUNK
Early Christians,incorporated,medicine,NOUN_CHUNK,NOUN_CHUNK
Byzantine medicine,encompasses,common medical practices,NORP,NOUN_CHUNK
Canon of Medicine,presents,overview,ORG,NOUN_CHUNK
hospitals,have,mix,NOUN_CHUNK,NOUN_CHUNK
patient care aspects,taken,effect,NOUN_CHUNK,NOUN_CHUNK
Wallis,identifies,prestige hierarchy,PERSON,NOUN_CHUNK
person,have,excess,NOUN_CHUNK,NOUN_CHUNK
Moods,affect,balance,NOUN_CHUNK,NOUN_CHUNK
natural faculty,affects,growth,NOUN_CHUNK,NOUN_CHUNK
Animal,controls,respiration,NOUN_CHUNK,NOUN_CHUNK
natural faculty,commands,senses,NOUN_CHUNK,NOUN_CHUNK
Renaissance,brought,intense focus,ORG,NOUN_CHUNK
Galen,rejected,sacred magic,ORG,NOUN_CHUNK
The University of Padua,played,leading role,ORG,NOUN_CHUNK
Vesalius,portrayed,body,PERSON,NOUN_CHUNK
Italian city,attracted,students,NOUN_CHUNK,NOUN_CHUNK
